,tweet,Lemma,Vader Sentiment,Vader Analysis
0,good morning makes my day to see a tesla first thing tokyo japan æ±äº¬ æ—¥æœ¬ ,  good morning make day see tesla first thing tokyo japan æ±äº¬ æ—¥æœ¬,0.4404,Neutral
1,tesla tsla technicalindicator market types mt   | extreme fear   view interactive details       ,  tesla tsla technicalindicator market type mt | extreme fear view interactive detail,-0.5413,Negative
2,tsla winnings of initial btc investmentğŸ™Œ     realized  m estimating an average buy price of /btc with now  btc holdings btcusd tesla bitcoin crypto,  tsla winning initial btc investmentğŸ™Œ realize estimate average buy price /btc btc holding btcusd tesla bitcoin crypto,0.5267,Positive
3,  this has happened never at each and every tesla supercharger for all my road trips since   i've seen a few examples in the news of vandalized and cut cords but that isn't tesla's fault,  happen never every tesla supercharger road trip since 've see example news vandalized cut cord n't tesla 's fault,0.0408,Neutral
4, so lets talk charging for our great american adventure ğŸ‡ºğŸ‡¸ if we would have taken my husbands vehicle it would of cost beâ€¦,  lets talk charge great american adventure ğŸ‡ºğŸ‡¸ would take husband vehicle would cost beâ€¦,0.7506,Positive
5,biden should give a  tax credit for ev's especially tesla considering they pretty much the only ev out   biden needs to stop being a cuck to the unions the unions already destroyed detroit stop living in the past,  biden give tax credit ev 's especially tesla consider pretty much ev biden need stop cuck union union already destroy detroit stop living past,-0.2111,Neutral
6, tesla number   was just registered in norwayÂ ğŸ‡³ğŸ‡´ğŸ”‹ğŸ¥³  it was a model y performance from berlin ğŸ‡©ğŸ‡ª  source ,  tesla number register norway ğŸ‡³ğŸ‡´ğŸ”‹ğŸ¥³ model performance berlin ğŸ‡©ğŸ‡ª source,0.4404,Neutral
7, many employees leave tesla's new factory in berlin according to this article mostly because of unequal/low salaries andâ€¦,  many employee leave tesla 's new factory berlin accord article mostly unequal/low salary andâ€¦,-0.0516,Neutral
8, f lightning charging our tesla model y and running a compressor vacuum work light and charging a battery incredibleâ€¦,  f lightning charge tesla model run compressor vacuum work light charge battery incredibleâ€¦,0.0,Neutral
9, for dear mr muskâ™¥ï¸ what do you think mrmusk âœ”ï¸tesla ceremonial car     tesla diplomat ,  dear mr muskâ™¥ï¸ think mrmusk âœ”ï¸tesla ceremonial car tesla diplomat,0.7783,Positive
10,tesla tsla options trade of the week  take a look  ,  tesla tsla option trade week take look,0.0,Neutral
11, win a tesla supercar model xÂ® plaid closes june   no donation or payment is necessary to enter or win this sweepstakâ€¦,  win tesla supercar model xÂ® plaid close june donation payment necessary enter win sweepstakâ€¦,0.8225,Positive
12, ğŸ“¢magiccraft genesis nft airdrop ğŸ“¢  ğŸ—“ï¸ mcgenesis nft airdrop will take place june th â€“ july rd  pm utc  ğŸ¤‘â€¦,  ğŸ“¢magiccraft genesis nft airdrop ğŸ“¢ ğŸ—“ï¸ mcgenesis nft airdrop take place june th â€“ july rd pm utc ğŸ¤‘â€¦,0.0,Neutral
13, former tesla employees have filed a lawsuit against the elonmuskled electric car maker alleging its decision to carrâ€¦,  former tesla employee file lawsuit elonmuskled electric car maker allege decision carrâ€¦,-0.2263,Neutral
14,"former tesla employees have filed a lawsuit against the elonmuskled electric car maker alleging its decision to carry out a ""mass layoff"" violated federal law |    ",  former tesla employee file lawsuit elonmuskled electric car maker allege decision carry `` mass layoff '' violate federal law |,-0.6249,Negative
15,im waiting to  for buy a car and i see some rumors of the new model q ğŸ‘€  ğŸ is this true  tesla  or someone to know about this,  im wait buy car see rumor new model q ğŸ‘€ ğŸ true tesla someone know,0.4215,Neutral
16,if anybody know anybody who wants a solar roof tesla  use my referral link to purchase solar roof or solar panels and get a  award upon system activation ,  anybody know anybody want solar roof tesla use referral link purchase solar roof solar panel get award upon system activation,0.5859,Positive
17,day  of asking  for a free tesla tesla,  day ask free tesla tesla,0.5106,Positive
18, yeah when you factor in petrol prices which are most likely going to continue rising a tesla is a great investment,  yeah factor petrol price likely go continue rise tesla great investment,0.743,Positive
19,us inflationrecession supply crunch etc will ease up in normal economic course market and economy can encounter scams and consequential crash because of elon musk tesla musks sensitive lose statements tentative/hostile approach towards acquisitions may lead to scamstesla,  us inflationrecession supply crunch etc ease normal economic course market economy encounter scam consequential crash elon musk tesla musk sensitive lose statement tentative/hostile approach towards acquisition may lead scamstesla,-0.765,Negative
20,there's almost nothing that should use a touchscreen in a car   tesla has a great drivetrain but the cameradependent ai and touchscreen controls really hurt ,  's almost nothing use touchscreen car tesla great drivetrain cameradependent ai touchscreen control really hurt,0.1045,Neutral
21,elon musk says tesla 'dropped the ball' on model x tesla ,  elon musk say tesla 'dropped ball ' model x tesla,0.0,Neutral
22, tesla could build its business from mining to car manufacturing in indonesia ğŸ‡®ğŸ‡©  but no final plans yet states countryâ€¦,  tesla could build business mine car manufacturing indonesia ğŸ‡®ğŸ‡© final plan yet state countryâ€¦,0.0,Neutral
23, who doesn't love a giveaway ğŸš™ğŸ’¨  at  connect it we are giving away a tesla model  to one of you be sure toâ€¦,  n't love giveaway ğŸš™ğŸ’¨ connect give away tesla model one sure toâ€¦,-0.2658,Neutral
24, looks like you have problems nationwide  thank god i dont buy audi ev vehicles  many other great cars out there nowâ€¦,  look like problem nationwide thank god dont buy audi ev vehicle many great car nowâ€¦,0.8176,Positive
25, anything made with authentic materials by people who are appreciated for their valuable contributions and humanity  sorry tesla  ,  anything make authentic material people appreciate valuable contribution humanity sorry tesla,0.6705,Positive
26, cost of basic k education  per yr in a pvt school cost of a taycan +  basic manners priceless  thereâ€¦,  cost basic k education per yr pvt school cost taycan + basic manner priceless thereâ€¦,0.0,Neutral
27, while many investors are always trying to find the next amazon or tesla which is extremely hard getting your asset allâ€¦,  many investor always try find next amazon tesla extremely hard get asset allâ€¦,0.4158,Neutral
28,check out tesla black baseball cap tesla  ebay via ,  check tesla black baseball cap tesla ebay via,0.0,Neutral
29,ğŸ”¥ğŸ‘½ episode  of elon musk radio  the boring company &amp tesla â€˜vegas loop update th june    ğŸ‘‡ğŸ‘‡ğŸ‘‡ğŸ‘‡    ğŸ‘†ğŸ‘†ğŸ‘†ğŸ‘†  tesla elonmusk theboringcompany boringcompany lasvegas vegasloop ,  ğŸ”¥ğŸ‘½ episode elon musk radio boring company & amp tesla â€˜ vega loop update th june ğŸ‘‡ğŸ‘‡ğŸ‘‡ğŸ‘‡ ğŸ‘†ğŸ‘†ğŸ‘†ğŸ‘† tesla elonmusk theboringcompany boringcompany lasvegas vegasloop,-0.5719,Negative
30, so if texas secedes will the california transplants follow tesla toyota californians movingtotexas keepcaliforniansoutâ€¦,  texas secedes california transplant follow tesla toyota californian movingtotexas keepcaliforniansoutâ€¦,0.0,Neutral
31,in  tesla invested b in bitcoin and began accepting it as payment since then the company's cryptocurrency assets have depreciated by m however musk continues to invest not only with company funds but also personal ones believing in the longterm perspective ,  tesla invest b bitcoin begin accept payment since company 's cryptocurrency asset depreciate however musk continue invest company fund also personal one believe longterm perspective,0.6249,Positive
32, please bring back boombox while drivingğŸ™ğŸ¾ i didnt get to have my funğŸ˜‚tesla,  please bring back boombox drivingğŸ™ğŸ¾ didnt get funğŸ˜‚tesla,-0.3187,Neutral
33, high voltage engineering  physics voltage elonmusk tesla engineer ,  high voltage engineering physic voltage elonmusk tesla engineer,0.0,Neutral
34,driving a tesla warms the earth  it stops making water vapor in the exhaust which makes less clouds  that reflects less sunlight and warms the earth ,  drive tesla warm earth stop make water vapor exhaust make less cloud reflect less sunlight warm earth,-0.2212,Neutral
35, tesla model battery degradation test  down in years/k miles  ,  tesla model battery degradation test years/k mile,-0.5267,Negative
36,still alive and kicking just been busy with life and a handful of other things ğŸ¤£ elongate tesla elongatetesla cryptocommunity ,  still alive kick busy life handful thing ğŸ¤£ elongate tesla elongatetesla cryptocommunity,0.7003,Positive
37," ""tesla cars will be prohibited from entering beidaihe site of a secretive annual summer party leadership conclave foâ€¦",  `` tesla car prohibit enter beidaihe site secretive annual summer party leadership conclave foâ€¦,0.4019,Neutral
38,so if texas secedes will the california transplants follow tesla toyota californians movingtotexas keepcaliforniansout texas texassecession,  texas secedes california transplant follow tesla toyota californian movingtotexas keepcaliforniansout texas texassecession,0.0,Neutral
39, indias electric cars will eat teslas lunch thanks to elon musk's arrogance says fanboy vivek wadhwa as a  fangirlâ€¦,  india electric car eat tesla lunch thanks elon musk 's arrogance say fanboy vivek wadhwa fangirlâ€¦,-0.128,Neutral
40,tesla starlink elonmusk  it is generating visual and spatial pollution with its network of satellites,  tesla starlink elonmusk generate visual spatial pollution network satellite,0.0,Neutral
41, here is one reason to get a mint access pass tesla  secured website &amp roadmap @    nft nfts nfâ€¦,  one reason get mint access pas tesla secure website & amp roadmap @ nft nfts nfâ€¦,0.34,Neutral
42, meet me at  in maryland washington dc on the  and th june and discover how the cube is changing the ruleâ€¦,  meet maryland washington dc th june discover cube change ruleâ€¦,0.0,Neutral
43, meet me at  in maryland washington dc on the  and th june and discover how the cube is changing the ruleâ€¦,  meet maryland washington dc th june discover cube change ruleâ€¦,0.0,Neutral
44,texassecession gee i wonder what elonmusk will think when he realizes that he moved his plants from ca to tx to avoid nda disclosures and now he will have to pay a super high tariff before an american will be able to buy his crappy tesla cars,  texassecession gee wonder elonmusk think realize move plant ca tx avoid nda disclosure pay super high tariff american able buy crappy tesla car,0.0516,Neutral
45, elon musk says tesla may have a working humanoid robot prototype by september th i hate robots so i'm sure somehowâ€¦,  elon musk say tesla may working humanoid robot prototype september th hate robot 'm sure somehowâ€¦,-0.34,Neutral
46,top ceos bracing for an economic recession tesla policymakers jpmorganchase jamiedimon federalreserve downturn fintwit ,  top ceo brace economic recession tesla policymakers jpmorganchase jamiedimon federalreserve downturn fintwit,-0.25,Neutral
47,tsla winnings of initial btc investmentğŸ™Œ     realized  m estimating an average buy price of /btc with now  btc holdings btcusd tesla bitcoin crypto,  tsla winning initial btc investmentğŸ™Œ realize estimate average buy price /btc btc holding btcusd tesla bitcoin crypto,0.5267,Positive
48,here is one reason to get a mint access pass tesla  secured website &amp roadmap @    nft nfts nftcollector  kcbc ,  one reason get mint access pas tesla secure website & amp roadmap @ nft nfts nftcollector kcbc,0.34,Neutral
49, tesla shop offers plaid quarter mile tee which celebrates the historic / mile performance time of  seconds posted by mâ€¦,  tesla shop offer plaid quarter mile tee celebrate historic / mile performance time second post mâ€¦,0.5719,Positive
50,imagine every  parking lot across america full of  solar systems would be incredible and the benefits for everyone is a long list  this would be an amazing opportunity to work with  to make some huge changes amc tesla elonmusk amcsqueeze ,  imagine every parking lot across america full solar system would incredible benefit everyone long list would amazing opportunity work make huge change amc tesla elonmusk amcsqueeze,0.9041,Positive
51,    also the only reason i add roads is that roads have a pretty standard set of measurements of course edge cases but it would allow for simple scale up of material processing could contract with tesla to build a factory when they do that as a service,  also reason add road road pretty standard set measurement course edge case would allow simple scale material processing could contract tesla build factory service,0.6249,Positive
52, the friar's gauntlet chill mode | fsd beta   via  round  with   â€¦,  friar 's gauntlet chill mode | fsd beta via round â€¦,0.0,Neutral
53,mandatory post car wash ğŸ“¸   modely  tesla  ,  mandatory post car wash ğŸ“¸ modely tesla,0.0772,Neutral
54,any force that wants to hurt  or be unfavorable to  should first pass through our ghcarmy  we will guard elon's space dream and support you foreverğŸ«¶ğŸ»ğŸ«¶ğŸ»ğŸ«¶ğŸ» ghc  galaxyheroes  galaxyheroescoin  ghcarmy   elonmusk tesla spacex galaxyheroes mars ,  force want hurt unfavorable first pas ghcarmy guard elon 's space dream support foreverğŸ«¶ğŸ»ğŸ«¶ğŸ»ğŸ«¶ğŸ» ghc galaxyheroes galaxyheroescoin ghcarmy elonmusk tesla spacex galaxyheroes mar,0.1531,Neutral
55,thank you   i get to watch freaking  season finale in my tesla  obi starwars tesla model thevibes cannotwait ,  thank get watch freak season finale tesla obi starwars tesla model thevibes cannotwait,-0.1027,Neutral
56, tesla could build its business from mining to car manufacturing in indonesia ğŸ‡®ğŸ‡©  but no final plans yet states countryâ€¦,  tesla could build business mine car manufacturing indonesia ğŸ‡®ğŸ‡© final plan yet state countryâ€¦,0.0,Neutral
57,report shanghai will subsidize ev purchases with  yuan per unit for rest of   tesla ev climatechange renewables renewableenergy,  report shanghai subsidize ev purchase yuan per unit rest tesla ev climatechange renewables renewableenergy,0.0,Neutral
58, tesla model battery degradation test  down in years/k miles  ,  tesla model battery degradation test years/k mile,-0.5267,Negative
59,its the wayâ€¦ tesla natick ma    ,  wayâ€¦ tesla natick,0.0,Neutral
60, fascistelonmusk is cracking    is showing the world his true colors apartheidboy fascist nazi apartheid racist tesla boycotttesla,  fascistelonmusk crack show world true color apartheidboy fascist nazi apartheid racist tesla boycotttesla,-0.7003,Negative
61, i bought new turbocharged camaro lt ğŸ‘€ğŸ‘€ğŸğŸ link below â¬‡ï¸    camaro camarolt hellcat scatpack mâ€¦,  buy new turbocharged camaro lt ğŸ‘€ğŸ‘€ğŸğŸ link â¬‡ï¸ camaro camarolt hellcat scatpack mâ€¦,0.0,Neutral
62, this is the beginning of how humanity ventured to mars and beyond   tesla spacex galaxyheroes starshipâ€¦,  beginning humanity venture mar beyond tesla spacex galaxyheroes starshipâ€¦,0.0,Neutral
63, i bought new matte black rimsğŸğŸğŸğŸ˜ğŸ˜ğŸ˜ğŸ¤ğŸ¤ğŸ¤ link below or in bioâ¬‡ï¸â¬‡ï¸â¬‡ï¸â¬‡ï¸    camaro camarolt hellcaâ€¦,  buy new matte black rimsğŸğŸğŸğŸ˜ğŸ˜ğŸ˜ğŸ¤ğŸ¤ğŸ¤ link bioâ¬‡ï¸â¬‡ï¸â¬‡ï¸â¬‡ï¸ camaro camarolt hellcaâ€¦,0.8402,Positive
64," ""it's because of innovators like you &amp nasa that america continues to lead in space exploration""  on â€¦",  `` 's innovator like & amp nasa america continue lead space exploration '' â€¦,0.5267,Positive
65, i can't wait till you make robots for all of us to have at home if it perditions what my next step is i would be very pleased   as long it doesn't try forcing me into what big companies are selling or trends i'm sure ai is smarter than any weather forecaster  tesla,  ca n't wait till make robot us home perditions next step would pleased long n't try force big company sell trend 'm sure ai smarter weather forecaster tesla,0.802,Positive
66, meet me at  in maryland washington dc on the  and th june and discover how the cube is changing the ruleâ€¦,  meet maryland washington dc th june discover cube change ruleâ€¦,0.0,Neutral
67,tesla fsdbetacanada recently mcu/infotainment was buggy as hell dashcam fails to start recording have to replug the usb to get it to record dashcam viewer super slow to start wifi won't connect to a mac secured hotspot wifi wont connect to anything unless mcu is rebooted,  tesla fsdbetacanada recently mcu/infotainment buggy hell dashcam fail start record replug usb get record dashcam viewer super slow start wifi wo n't connect mac secure hotspot wifi wont connect anything unless mcu reboot,-0.738,Negative
68, fascistelonmusk is cracking    is showing the world his true colors apartheidboy fascist nazi apartheid racist tesla boycotttesla,  fascistelonmusk crack show world true color apartheidboy fascist nazi apartheid racist tesla boycotttesla,-0.7003,Negative
69,awesome someone just spotted a  tesla model  ğŸ‡ºğŸ‡¸ dual motor for the very first time in california united states ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates model,  awesome someone spot tesla model ğŸ‡ºğŸ‡¸ dual motor first time california united state ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates model,0.7845,Positive
70,smashing someone was first to spot a yet unrecognizable tesla vehicle in california united states ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates,  smash someone first spot yet unrecognizable tesla vehicle california united state ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates,0.4215,Neutral
71,cool someone was first to spot a  tesla model  ğŸ‡ºğŸ‡¸ dual motor in california united states ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates model,  cool someone first spot tesla model ğŸ‡ºğŸ‡¸ dual motor california united state ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates model,0.6249,Positive
72,bravo someone nailed it by spotting a  tesla model y ğŸ‡ºğŸ‡¸ performance in california united states ğŸ‡ºğŸ‡¸ as the first player teslaradar tesla unitedstates modely performance,  bravo someone nail spot tesla model ğŸ‡ºğŸ‡¸ performance california united state ğŸ‡ºğŸ‡¸ first player teslaradar tesla unitedstates modely performance,0.4215,Neutral
73,very nice someone was first to spot a  tesla model  ğŸ‡ºğŸ‡¸ standard in california united states ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates model,  nice someone first spot tesla model ğŸ‡ºğŸ‡¸ standard california united state ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates model,0.6808,Positive
74,aloha someone just spotted a  tesla model y ğŸ‡ºğŸ‡¸ dual motor for the very first time in california united states ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates modely,  aloha someone spot tesla model ğŸ‡ºğŸ‡¸ dual motor first time california united state ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates modely,0.4215,Neutral
75,bravo someone was first to spot a  tesla model  ğŸ‡ºğŸ‡¸ standard in california united states ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates model,  bravo someone first spot tesla model ğŸ‡ºğŸ‡¸ standard california united state ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates model,0.4215,Neutral
76,hip hip hooray someone was first to spot a  tesla model  ğŸ‡ºğŸ‡¸ dual motor in california united states ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates model,  hip hip hooray someone first spot tesla model ğŸ‡ºğŸ‡¸ dual motor california united state ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates model,0.7269,Positive
77,like a boss someone was first to spot a  tesla model y ğŸ‡ºğŸ‡¸ performance in california united states ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates modely performance,  like bos someone first spot tesla model ğŸ‡ºğŸ‡¸ performance california united state ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates modely performance,0.6486,Positive
78,very nice someone was first to spot a  tesla model y ğŸ‡ºğŸ‡¸ dual motor in washington united states ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates modely,  nice someone first spot tesla model ğŸ‡ºğŸ‡¸ dual motor washington united state ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates modely,0.6808,Positive
79,cowabunga someone nailed it by spotting a  tesla model  ğŸ‡ºğŸ‡¸ standard in california united states ğŸ‡ºğŸ‡¸ as the first player teslaradar tesla unitedstates model,  cowabunga someone nail spot tesla model ğŸ‡ºğŸ‡¸ standard california united state ğŸ‡ºğŸ‡¸ first player teslaradar tesla unitedstates model,0.4215,Neutral
80,fresh someone just spotted a  tesla model  ğŸ‡ºğŸ‡¸ dual motor in california united states ğŸ‡ºğŸ‡¸ before anyone else did teslaradar tesla unitedstates model,  fresh someone spot tesla model ğŸ‡ºğŸ‡¸ dual motor california united state ğŸ‡ºğŸ‡¸ anyone else teslaradar tesla unitedstates model,0.6249,Positive
81,wicked someone just spotted a  tesla model y ğŸ‡ºğŸ‡¸ dual motor for the very first time in california united states ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates modely,  wicked someone spot tesla model ğŸ‡ºğŸ‡¸ dual motor first time california united state ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates modely,-0.1531,Neutral
82,hooray someone was first to spot a  tesla model  ğŸ‡ºğŸ‡¸ dual motor in california united states ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates model,  hooray someone first spot tesla model ğŸ‡ºğŸ‡¸ dual motor california united state ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates model,0.7269,Positive
83,yabba dabba doo someone was first to spot a  tesla model  ğŸ‡ºğŸ‡¸ dual motor in california united states ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates model,  yabba dabba doo someone first spot tesla model ğŸ‡ºğŸ‡¸ dual motor california united state ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates model,0.4215,Neutral
84,zing someone just spotted a  tesla model  ğŸ‡ºğŸ‡¸ standard in california united states ğŸ‡ºğŸ‡¸ before anyone else did teslaradar tesla unitedstates model,  zing someone spot tesla model ğŸ‡ºğŸ‡¸ standard california united state ğŸ‡ºğŸ‡¸ anyone else teslaradar tesla unitedstates model,0.4215,Neutral
85,lo and behold someone was first to spot a  tesla model  ğŸ‡ºğŸ‡¸ standard in california united states ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates model,  lo behold someone first spot tesla model ğŸ‡ºğŸ‡¸ standard california united state ğŸ‡ºğŸ‡¸ teslaradar tesla unitedstates model,0.4215,Neutral
86,way to go someone nailed it by spotting a  tesla model  ğŸ‡ºğŸ‡¸ performance in california united states ğŸ‡ºğŸ‡¸ as the first player teslaradar tesla unitedstates model performance,  way go someone nail spot tesla model ğŸ‡ºğŸ‡¸ performance california united state ğŸ‡ºğŸ‡¸ first player teslaradar tesla unitedstates model performance,0.4215,Neutral
87,zing someone nailed it by spotting a yet unrecognizable tesla vehicle in california united states ğŸ‡ºğŸ‡¸ as the first player teslaradar tesla unitedstates,  zing someone nail spot yet unrecognizable tesla vehicle california united state ğŸ‡ºğŸ‡¸ first player teslaradar tesla unitedstates,0.4215,Neutral
88,bravo jamesspanko just spotted a  tesla model  ğŸ‡ºğŸ‡¸ standard in ontario canada ğŸ‡¨ğŸ‡¦ before anyone else did teslaradar tesla canada model,  bravo jamesspanko spot tesla model ğŸ‡ºğŸ‡¸ standard ontario canada ğŸ‡¨ğŸ‡¦ anyone else teslaradar tesla canada model,0.0,Neutral
89,woohoo jamesspanko nailed it by spotting a  tesla model  ğŸ‡ºğŸ‡¸ standard in ontario canada ğŸ‡¨ğŸ‡¦ as the first player teslaradar tesla canada model,  woohoo jamesspanko nail spot tesla model ğŸ‡ºğŸ‡¸ standard ontario canada ğŸ‡¨ğŸ‡¦ first player teslaradar tesla canada model,0.5106,Positive
90,great jamesspanko just spotted a  tesla model  ğŸ‡ºğŸ‡¸ standard in ontario canada ğŸ‡¨ğŸ‡¦ before anyone else did teslaradar tesla canada model,  great jamesspanko spot tesla model ğŸ‡ºğŸ‡¸ standard ontario canada ğŸ‡¨ğŸ‡¦ anyone else teslaradar tesla canada model,0.6249,Positive
91,hurrah jamesspanko nailed it by spotting a  tesla model  ğŸ‡ºğŸ‡¸ dual motor in ontario canada ğŸ‡¨ğŸ‡¦ as the first player teslaradar tesla canada model,  hurrah jamesspanko nail spot tesla model ğŸ‡ºğŸ‡¸ dual motor ontario canada ğŸ‡¨ğŸ‡¦ first player teslaradar tesla canada model,0.5574,Positive
92,smashing jamesspanko nailed it by spotting a  tesla model  ğŸ‡ºğŸ‡¸ dual motor in ontario canada ğŸ‡¨ğŸ‡¦ as the first player teslaradar tesla canada model,  smash jamesspanko nail spot tesla model ğŸ‡ºğŸ‡¸ dual motor ontario canada ğŸ‡¨ğŸ‡¦ first player teslaradar tesla canada model,0.0,Neutral
93,hip hip hooray jamesspanko just spotted a  tesla model  ğŸ‡ºğŸ‡¸ dual motor for the very first time in ontario canada ğŸ‡¨ğŸ‡¦ teslaradar tesla canada model,  hip hip hooray jamesspanko spot tesla model ğŸ‡ºğŸ‡¸ dual motor first time ontario canada ğŸ‡¨ğŸ‡¦ teslaradar tesla canada model,0.5106,Positive
94,zing jamesspanko nailed it by spotting a  tesla model s ğŸ‡ºğŸ‡¸ plaid in ontario canada ğŸ‡¨ğŸ‡¦ as the first player teslaradar tesla canada models plaid,  zing jamesspanko nail spot tesla model ğŸ‡ºğŸ‡¸ plaid ontario canada ğŸ‡¨ğŸ‡¦ first player teslaradar tesla canada model plaid,0.0,Neutral
95,coolio jamesspanko just spotted a  tesla model  ğŸ‡ºğŸ‡¸ standard for the very first time in ontario canada ğŸ‡¨ğŸ‡¦ teslaradar tesla canada model,  coolio jamesspanko spot tesla model ğŸ‡ºğŸ‡¸ standard first time ontario canada ğŸ‡¨ğŸ‡¦ teslaradar tesla canada model,0.0,Neutral
96,well done jamesspanko nailed it by spotting a  tesla model y ğŸ‡ºğŸ‡¸ dual motor in ontario canada ğŸ‡¨ğŸ‡¦ as the first player teslaradar tesla canada modely,  well do jamesspanko nail spot tesla model ğŸ‡ºğŸ‡¸ dual motor ontario canada ğŸ‡¨ğŸ‡¦ first player teslaradar tesla canada modely,0.2732,Neutral
97,fresh jamesspanko just spotted a  tesla model y ğŸ‡ºğŸ‡¸ dual motor in ontario canada ğŸ‡¨ğŸ‡¦ before anyone else did teslaradar tesla canada modely,  fresh jamesspanko spot tesla model ğŸ‡ºğŸ‡¸ dual motor ontario canada ğŸ‡¨ğŸ‡¦ anyone else teslaradar tesla canada modely,0.3182,Neutral
98,nice jamesspanko just spotted a  tesla model  ğŸ‡ºğŸ‡¸ standard for the very first time in ontario canada ğŸ‡¨ğŸ‡¦ teslaradar tesla canada model,  nice jamesspanko spot tesla model ğŸ‡ºğŸ‡¸ standard first time ontario canada ğŸ‡¨ğŸ‡¦ teslaradar tesla canada model,0.4215,Neutral
99,very nice jamesspanko just spotted a  tesla model y ğŸ‡ºğŸ‡¸ dual motor for the very first time in ontario canada ğŸ‡¨ğŸ‡¦ teslaradar tesla canada modely,  nice jamesspanko spot tesla model ğŸ‡ºğŸ‡¸ dual motor first time ontario canada ğŸ‡¨ğŸ‡¦ teslaradar tesla canada modely,0.4215,Neutral
